학교명,1학년 전입학생수,1학년 전출학생수,2학년 전입학생수,2학년 전출학생수,3학년 전입학생수,3학년 전출학생수,4학년 전입학생수,4학년 전출학생수,5학년 전입학생수,5학년 전출학생수,6학년 전입학생수,6학년 전출학생수,전입학생수(계),전출학생수(계),전체학생수(계)
덕치초등학교,0,0,0,0,0,1,0,1,0,0,0,1,0,3,13
전주기린초등학교,3,5,6,2,2,4,3,2,2,5,0,1,16,19,491
전주장동초등학교,0,0,0,3,0,2,2,1,0,1,2,0,4,7,128
전주효자초등학교,1,1,3,0,0,1,4,6,0,1,1,3,9,12,168
북면초등학교,0,0,1,2,0,1,0,0,1,1,0,1,2,5,95
수곡초등학교,0,0,0,0,0,1,0,1,1,1,0,1,1,4,47
정남초등학교,0,1,0,0,0,1,1,1,0,1,0,0,1,4,28
동향초등학교,0,0,0,1,0,0,0,1,0,1,0,0,0,3,43
병영초등학교,0,0,0,1,0,2,0,0,0,0,0,0,0,3,36
남양초등학교,0,0,0,0,0,1,0,1,0,0,0,1,0,3,29
골약초등학교,1,0,0,0,1,3,0,0,0,1,0,1,2,5,67
광양중마초등학교,2,3,2,1,2,9,4,5,6,2,3,2,19,22,566
진상초등학교,1,0,0,0,1,3,1,1,0,0,0,2,3,6,46
노안남초등학교,0,0,0,0,0,0,1,1,0,2,0,1,1,4,83
반남초등학교,1,0,0,0,0,2,0,2,0,0,0,0,1,4,14
산포초등학교,0,1,4,1,1,2,2,3,4,5,0,2,11,14,105
삼향동초등학교,1,0,0,3,2,1,1,0,0,2,0,1,4,7,95
예당초등학교,1,1,0,0,0,1,0,1,0,1,1,1,2,5,48
순천왕조초등학교,0,1,0,0,2,3,0,2,1,1,1,0,4,7,238
상암초등학교묘도분교장,0,0,0,1,0,0,0,1,0,0,0,1,0,3,18
상암초등학교,0,0,1,3,0,0,0,1,2,1,0,1,3,6,67
시전초등학교,3,2,3,1,2,4,3,4,1,5,2,1,14,17,268
안일초등학교,0,0,0,1,0,0,0,1,0,1,0,0,0,3,17
